artist,genre,festivals
Natural Child,Rock,"[u'Hangout', u'Wakarusa']"
Neal McCoy,Country,[u'CMA Fest']
Nero,EDM,"[u'Coachella', u'Lollapalooza']"
New Medicine,Rock,[u'Rock on the Range']
New Politics,Rock,[u'Summerfest']
New World Punx,EDM,[u'Coachella']
Nicholas Payton,Jazz,[u'New Orleans Jazz & Heritage Fes']
Nick Catchdubs,Hip-hop,[u'Firefly']
Nick Monaco,EDM,[u'Electric Forest']
Nicky Romero,EDM,[u'Lollapalooza']
Nicnos,Rock,[u'Rocklahoma']
Nico + Vinz,Hip-hop,[u'Essence']
Nicole Moudaber,EDM,[u'Spring Awakening']
Night Drive,Indie,[u'Free Press Summer Festival']
Night Terrors of 1927,Pop,"[u'Coachella', u'Firefly', u'Lollapalooza']"
Nikki Lane,Country,"[u'Tortuga', u'Stagecoach', u'Newport Folk']"
No Doubt,Rock,"[u'New Orleans Jazz & Heritage Fes', u'Rock in Rio USA - Rock Weekend']"
Noah Gundersen,Indie,[u'Forecastle']
Noel Gallagher's High Flying Birds,Rock,[u'Governors Ball']
Nonpoint,Metal,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
Nortec Collective Presents: Bostich + Fussible,EDM,[u'Coachella']
Not A Planet,Indie,[u'Middle of the Map']
Nothing,Indie,[u'Sasquatch!']
ODESZA,EDM,"[u'Coachella', u'Hangout', u'Lightning in a Bottle', u'Sasquatch!', u'Governors Ball', u'Free Press Summer Festival', u'Bonnaroo', u'Firefly', u'Electric Forest', u'Lollapalooza', u'Outside Lands']"
OK Go,Indie,[u'Middle of the Map']
Of Mice & Men,Metal,"[u'Welcome to Rockville', u'Rock in Rio USA - Rock Weekend', u'Rock on the Range', u'Rocklahoma']"
Of Monsters And Men,Indie,"[u'Sasquatch!', u'Lollapalooza']"
Off!,Rock,[u'Coachella']
Old 97's ,Americana,[u'Wakarusa']
Old Crow Medicine Show,Americana,[u'Bunbury']
Old Dominion,Country,"[u'Tortuga', u'Kicker Country Stampede']"
Old Hundred,Indie,[u'Bunbury']
Old Salt Union,Bluegrass,[u'Stagecoach']
Old Shoe,Rock,[u'Wakarusa']
Old Sound,Americana,[u'Middle of the Map']
Oliver Heldens,EDM,"[u'Coachella', u'Spring Awakening']"
Open Mike Eagle,Hip-hop,[u'Middle of the Map']
Otherwise,Rock,[u'Rocklahoma']
Otis Clay,R&B,[u'Summerfest']
Ott,EDM,"[u'Lightning in a Bottle', u'Counterpoint']"
Ottertrail Native American Dance Troupe,World,[u'New Orleans Jazz & Heritage Fes']
Ought,Rock,"[u'Sasquatch!', u'Pitchfork']"
Outlaws,Rock,[u'Stagecoach']
Outsides,Pop,[u'Middle of the Map']
Over The Rhine,Americana,[u'Forecastle']
Ozomatli,Latin,[u'Wakarusa']
Pallbearer,Metal,"[u'Free Press Summer Festival', u'Bonnaroo']"
Paloma Faith,Jazz,[u'New Orleans Jazz & Heritage Fes']
Pan Astral,Indie,[u'Electric Forest']
Panama Wedding,Indie,[u'Firefly']
Panda Bear,EDM,"[u'Coachella', u'Lightning in a Bottle', u'Pitchfork']"
Papa Roach,Rock,"[u'Rock on the Range', u'Rocklahoma']"
Papadosio,Indie,[u'Counterpoint']
Paparoach,Rock,[u'Welcome to Rockville']
Paper Diamond,EDM,[u'Wakarusa']
Paramore,Rock,"[u'SunFest', u'Hangout']"
Paris Hilton,EDM,[u'Summerfest']
Parker Millsap,Americana,[u'Stagecoach']
Parmalee,Country,[u'Stagecoach']
Parquet Courts,Indie,"[u'Coachella', u'Pitchfork']"
Particle,Rock,[u'Wakarusa']
Party Favor,EDM,[u'Spring Awakening']
Pastor Marvin Sapp,Gospel,[u'New Orleans Jazz & Heritage Fes']
Pat Benetar and Neil Giraldo,Rock,[u'Summerfest']
Pat Martino,Jazz,[u'Newport Jazz']
Paul McCartney,Rock,"[u'Firefly', u'Lollapalooza']"
Paul Oakenfold,EDM,[u'Electric Forest']
Paul Van Dyk,EDM,[u'Spring Awakening']
Peelander-Z,Rock,[u'Middle of the Map']
Pegboard Nerds,EDM,[u'Spring Awakening']
Pegi Young & the Survivors,Americana,[u'Stagecoach']
Peking Duk,EDM,"[u'Coachella', u'Electric Forest', u'Lollapalooza']"
Pell,R&B,[u'Lollapalooza']
Pentagram,Metal,[u'Free Press Summer Festival']
People Under The Stairs,Hip-hop,"[u'Governors Ball', u'Forecastle']"
People's Blues of Richmond,Rock,[u'Electric Forest']
Pepeu Gomes,Rock,[u'Rock in Rio USA - Rock Weekend']
Pepper,Rock,[u'Summerfest']
Perfume Genius,Indie,"[u'Coachella', u'Sasquatch!', u'Pitchfork']"
Periphery,Metal,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
Pete Tong,EDM,"[u'Coachella', u'Electric Forest']"
Peter Evans,Jazz,[u'Newport Jazz']
Peter Hook & The Light,Rock,[u'Middle of the Map']
Phantogram,EDM,"[u'Hangout', u'Electric Forest']"
Phil Vassar,Country,[u'Summerfest']
Philip Selway,Indie,"[u'Coachella', u'Lollapalooza']"
Phillip Phillips,Pop,[u'Summerfest']
Phox,Indie,"[u'Coachella', u'Middle of the Map', u'Sasquatch!', u'Bonnaroo', u'Firefly', u'Summerfest']"
Phutureprimitive,EDM,"[u'Lightning in a Bottle', u'Electric Forest']"
Pianos Become The Teeth,Rock,[u'Middle of the Map']
Pillowtalk,Pop,[u'Lightning in a Bottle']
Pine Leaf Boys: Louisiana Music,Americana,[u'New Orleans Jazz & Heritage Fes']
Pink Royal,Indie,[u'Middle of the Map']
Pitbull,Hip-hop,[u'New Orleans Jazz & Heritage Fes']
Pixies,Indie,[u'SunFest']
Play Dead,Rock,[u'Wakarusa']
Playing To Vapors,Indie,[u'Bunbury']
Pluto Revolts,Rock,[u'Bunbury']
Pokey Lafarge,Americana,[u'Bonnaroo']
Polica,Rock,[u'Lightning in a Bottle']
Poor Bishop Hooper,Americana,[u'Middle of the Map']
Pope,Indie,[u'Free Press Summer Festival']
Porter Ray,Hip-hop,[u'Sasquatch!']
Porter Robinson,EDM,"[u'Coachella', u'Outside Lands']"
Portugal. The Man,Indie,"[u'Wakarusa', u'Free Press Summer Festival', u'Forecastle']"
Preservation Hall Jazz Band,Jazz,"[u'New Orleans Jazz & Heritage Fes', u'Hangout', u'Electric Forest']"
Primus,Rock,[u'SweetWater 420']
Prinze George,Indie,[u'Firefly']
Priory,Indie,"[u'Governors Ball', u'Bonnaroo']"
Prismo,EDM,[u'Free Press Summer Festival']
ProbCause,Hip-hop,[u'Wakarusa']
Project Terror,Metal,[u'Rocklahoma']
Protomartyr,Indie,[u'Pitchfork']
Public Enemy,Hip-hop,[u'Summerfest']
Pujol,Indie,[u'Middle of the Map']
Pumpkin,EDM,[u'Lightning in a Bottle']
Punch Brothers,Americana,"[u'Bonnaroo', u'Summerfest']"
Pyrotec,EDM,[u'Lightning in a Bottle']
Q Brothers,Hip-hop,[u'Lollapalooza']
Quantic,EDM,[u'Wakarusa']
Queensryche,Metal,"[u'Welcome to Rockville', u'Rocklahoma']"
Quilt,Rock,[u'Sasquatch!']
Quixotic,EDM,[u'Wakarusa']
R. Kelly,R&B,[u'Free Press Summer Festival']
R3hab,EDM,[u'Coachella']
RAC,EDM,[u'Coachella']
RIMEA Sr. All-State Jazz Ensemble,Jazz,[u'Newport Jazz']
RJD2,Hip-hop,[u'Firefly']
RL Grime,EDM,"[u'Lightning in a Bottle', u'Counterpoint', u'Free Press Summer Festival', u'Forecastle', u'Lollapalooza', u'Outside Lands']"
Radkey,Rock,[u'Coachella']
Rae Sremmurd,Hip-hop,[u'Governors Ball']
Raekwon and Ghostface Killah,Hip-hop,[u'Coachella']
Ragdoll,Rock,[u'Rocklahoma']
Raheem Devaughn,R&B,[u'Essence']
Random Rab,EDM,[u'Lightning in a Bottle']
Rascal Flatts,Country,[u'CMA Fest']
Ratatat,Indie,"[u'Coachella', u'Governors Ball']"
Ratchet Dolls,Rock,[u'Rocklahoma']
Raury,Indie,"[u'Sasquatch!', u'Firefly', u'Lollapalooza']"
Reach,Hip-hop,[u'Middle of the Map']
Real Estate,Indie,[u'Sasquatch!']
Rebelution,Reggae,"[u'Counterpoint', u'Wakarusa']"
Rebirth Brass Band,Jazz,[u'New Orleans Jazz & Heritage Fes']
Red Sun Rising,Rock,"[u'Welcome to Rockville', u'Rock on the Range']"
Red Wanting Blues,Rock,[u'SweetWater 420']
Renato Ratier,EDM,[u'Rock in Rio USA - Pop Weekend']
Reptar,Rock,[u'Wakarusa']
Reverend Horton Heat,Rock,"[u'Coachella', u'Bunbury']"
Rhiannon Giddens,Americana,[u'Bonnaroo']
Ride,Rock,[u'Coachella']
Rise Against,Rock,"[u'Rock in Rio USA - Rock Weekend', u'Rock on the Range']"
Rising Appalachia,World,"[u'Lightning in a Bottle', u'Wakarusa']"
Rising Dragon Lion Dance Team,World,[u'New Orleans Jazz & Heritage Fes']
Rival Sons,Rock,[u'Rock on the Range']
Riverboat Gamblers,Rock,[u'Free Press Summer Festival']
Rixton,Pop,[u'Summerfest']
Rob Garza,EDM,[u'Wakarusa']
Robert Cray,Blues,[u'New Orleans Jazz & Heritage Fes']
Robert DeLong,EDM,"[u'Hangout', u'Counterpoint', u'Outside Lands']"
Robert Ellis,Country,[u'Free Press Summer Festival']
Robert Glasper,Jazz,[u'Essence']
Robert Plant & The Sensational Space Shifters,Rock,"[u'Sasquatch!', u'Bonnaroo']"
Rocket From The Crypt,Rock,[u'Free Press Summer Festival']
"Rockin' Dopsie, Jr. & The Zydeco Twisters",Americana,[u'New Orleans Jazz & Heritage Fes']
Rose Windows,Rock,[u'Sasquatch!']
Rose's Pawn Shop,Americana,[u'Wakarusa']
Rosie Ledet & The Zydeco Playboys,Americana,[u'New Orleans Jazz & Heritage Fes']
Royal Blood,Indie,"[u'Coachella', u'Sasquatch!', u'Governors Ball', u'Bunbury', u'Bonnaroo']"
Royal Teeth,Indie,[u'New Orleans Jazz & Heritage Fes']
Royalphonic,R&B,[u'Middle of the Map']
Rubblebucket,Indie,[u'Hangout']
Rudimental,Indie,"[u'Governors Ball', u'Bonnaroo']"
Ruen Brothers,Rock,"[u'Coachella', u'Sasquatch!']"
Ruff Justice,Metal,[u'Rocklahoma']
Run the Jewels,Hip-hop,"[u'Coachella', u'Sasquatch!', u'Bonnaroo', u'Firefly', u'Pitchfork']"
Russ Liquid,EDM,"[u'Wakarusa', u'Electric Forest']"
Rustie,EDM,"[u'Sasquatch!', u'Wakarusa', u'Governors Ball', u'Bonnaroo', u'Firefly']"
Ryan Adams,Rock,"[u'Coachella', u'New Orleans Jazz & Heritage Fes', u'Sasquatch!', u'Governors Ball']"
Ryan Hemsworth,EDM,[u'Coachella']
Ryley Walker,Americana,[u'Pitchfork']
Ryn Weaver,Pop,"[u'Coachella', u'Bonnaroo', u'Firefly', u'Lollapalooza', u'Outside Lands']"
S (Jenn Ghetto),Indie,[u'Sasquatch!']
SAVOY,Rock,"[u'Wakarusa', u'Spring Awakening']"
SBTRKT,EDM,"[u'Coachella', u'Lightning in a Bottle', u'Sasquatch!', u'Governors Ball', u'Bonnaroo']"
SNBRN,Indie,"[u'Hangout', u'Lightning in a Bottle', u'Firefly', u'Electric Forest', u'Lollapalooza']"
SOJA,Reggae,"[u'SunFest', u'Bonnaroo']"
STS9,EDM,"[u'Wakarusa', u'Bonnaroo']"
STWO,EDM,[u'Lightning in a Bottle']
SZA,R&B,"[u'Bonnaroo', u'Essence', u'Lollapalooza', u'Outside Lands']"
Sabaton,Metal,[u'Rock on the Range']
Saint Motel,Pop,"[u'Coachella', u'Summerfest']"
Saints of Valory,Rock,[u'Rock in Rio USA - Rock Weekend']
Sam Fermin,Pop,[u'Sasquatch!']
Sam Hunt,Country,"[u'Tortuga', u'CMA Fest']"
Sam Lachow,Hip-hop,[u'Sasquatch!']
Sam Llanas,Rock,[u'Summerfest']
Sam Smith,Pop,"[u'Rock in Rio USA - Pop Weekend', u'Hangout', u'Forecastle', u'Lollapalooza', u'Outside Lands']"
Sammy Bliss,EDM,[u'Lightning in a Bottle']
Sammy Hagar and the Circle,Rock,"[u'SunFest', u'Summerfest']"
San Fermin,Pop,"[u'Hangout', u'Forecastle']"
Sander Van Doorn,EDM,[u'Spring Awakening']
Sango,Hip-hop,"[u'Counterpoint', u'Electric Forest']"
Sangre,Metal,[u'Welcome to Rockville']
Santa Cruz,Metal,[u'Rock on the Range']
Santigold,Pop,[u'Summerfest']
Sara Evans,Country,"[u'Stagecoach', u'Kicker Country Stampede']"
Sarah Aili,Country,[u'Kicker Country Stampede']
Sarah Jaffe,Indie,[u'Free Press Summer Festival']
Sasha McVeigh,Country,[u'Kicker Country Stampede']
Savanna Chestnut,Country,[u'Kicker Country Stampede']
Saxon,Metal,[u'Rock on the Range']
Scale The Summit,Metal,[u'Free Press Summer Festival']
School of Rock Allstars,Rock,[u'Lollapalooza']
Schoolboy Q,Hip-hop,"[u'SunFest', u'Sasquatch!', u'Summerfest']"
Scott Robinson,Jazz,[u'Newport Jazz']
Scott Weiland and the Wildabouts,Rock,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
Scruffy & The Janitors,Rock,[u'Middle of the Map']
Sean Rowe,Americana,[u'Middle of the Map']
Second Lovers,Americana,[u'Free Press Summer Festival']
Seoul,Pop,[u'Middle of the Map']
September Mourning,Rock,[u'Rock on the Range']
Sepultura ft. Steve Vai,Metal,[u'Rock in Rio USA - Rock Weekend']
Seun Kuti & Egypt 80,World,"[u'Summerfest', u'Electric Forest']"
Seven Lions,EDM,[u'Spring Awakening']
Sevyn Streeter,Hip-hop,[u'Essence']
Shabazz Palaces,Indie,[u'Bonnaroo']
Shakey Graves,Americana,"[u'Sasquatch!', u'Bunbury', u'Bonnaroo', u'Summerfest', u'Newport Folk', u'Lollapalooza', u'Outside Lands']"
Shaman's Harvest,Rock,"[u'Rock on the Range', u'Rocklahoma']"
Shamir,EDM,[u'Pitchfork']
Shaprece,EDM,[u'Sasquatch!']
Sharon Van Etten,Indie,"[u'Sasquatch!', u'Governors Ball']"
Shaun Frank,EDM,[u'Firefly']
Shaun Reeves,EDM,[u'Lightning in a Bottle']
Shawn James & The Shapeshifters,Rock,[u'Wakarusa']
She's A Keeper,Americana,[u'Middle of the Map']
Sheila E.,R&B,[u'Summerfest']
Sheppa/Body2Body,EDM,[u'Middle of the Map']
Sheppard,Indie,[u'Lollapalooza']
Sheryl Crow,Rock,[u'Summerfest']
Shiba San,EDM,"[u'Lightning in a Bottle', u'Spring Awakening']"
Shiner,Rock,[u'Middle of the Map']
Shirley Ceasar,Gospel,[u'New Orleans Jazz & Heritage Fes']
Shooter Jennings,Country,[u'New Orleans Jazz & Heritage Fes']
Shovels & Rope,Americana,"[u'New Orleans Jazz & Heritage Fes', u'Sasquatch!', u'Forecastle']"
Shpongle (Simon Posford DJ set),EDM,[u'Electric Forest']
Sie Lieben Maschinen,Rock,[u'Middle of the Map']
Simoninha ft. Toni Garrido,Latin,[u'Rock in Rio USA - Pop Weekend']
Single Mothers,Rock,[u'Pitchfork']
SirenXX,Indie,[u'Lollapalooza']
Six Percent,Rock,[u'Middle of the Map']
Skating Polly,Rock,[u'Middle of the Map']
Skream,EDM,[u'Spring Awakening']
Skrillex,EDM,"[u'Hangout', u'Free Press Summer Festival', u'Electric Forest']"
Sky Ferreria,Indie,[u'Outside Lands']
Skylar Spence,Pop,"[u'Hangout', u'Firefly', u'Electric Forest', u'Lollapalooza']"
Slander,EDM,[u'Spring Awakening']
Slaptop,EDM,[u'Free Press Summer Festival']
Slash featuring Myles Kennedy & the Conspirators,Rock,[u'Rock on the Range']
"Slash, featuring Myles Kennedy & the Conspirators",Rock,[u'Welcome to Rockville']
Slayer,Metal,"[u'Welcome to Rockville', u'Rocklahoma', u'Bonnaroo']"
Sleater-Kinney,Indie,[u'Pitchfork']
Slick Rick,Hip-hop,[u'Essence']
Slightly Stoopid,Rock,"[u'SweetWater 420', u'Wakarusa', u'Outside Lands']"
Slipknot,Metal,"[u'Welcome to Rockville', u'Rock on the Range']"
Sloan,Rock,"[u'Coachella', u'Summerfest']"
Slow Hands,EDM,"[u'Lightning in a Bottle', u'Electric Forest']"
Slow Magic,EDM,"[u'Sasquatch!', u'Electric Forest']"
Sly-Ridge,Country,[u'Kicker Country Stampede']
Smallpools,Indie,[u'Rock in Rio USA - Rock Weekend']
Smash Mouth,Rock,[u'Summerfest']
Smokey Brights,Pop,[u'Sasquatch!']
Snails,EDM,[u'Electric Forest']
Snakehips,EDM,"[u'Lightning in a Bottle', u'Firefly']"
Snarky Puppy,Jazz,"[u'New Orleans Jazz & Heritage Fes', u'Newport Jazz']"
Snoop Dogg,Hip-hop,"[u'SweetWater 420', u'Bunbury', u'Firefly']"
Sohn,EDM,"[u'Lightning in a Bottle', u'Sasquatch!']"
Solidisco,EDM,[u'Firefly']
SomeKindaWonderful,Rock,[u'SunFest']
Something And The Whatevers,Rock,[u'Middle of the Map']
Son Lux,Hip-hop,[u'Forecastle']
Son of Kick,Hip-hop,[u'Electric Forest']
Sons,Rock,[u'Rocklahoma']
Sons of Texas,Metal,"[u'Welcome to Rockville', u'Rocklahoma']"
Sophie,Indie,[u'Pitchfork']
Soul Clap,EDM,[u'Electric Forest']
Soulular,EDM,[u'Lightning in a Bottle']
Speedy Ortiz,Indie,"[u'Forecastle', u'Outside Lands']"
Spencer Mackenzie Brown,Americana,[u'Middle of the Map']
Spirit Is The Spirit,Rock,[u'Middle of the Map']
Split Lip Rayfield,Americana,[u'Wakarusa']
SpokFrevo Orquestra,Jazz,[u'Rock in Rio USA - Rock Weekend']
Spookyland,Rock,[u'Lollapalooza']
Spoon,Indie,"[u'Hangout', u'Sasquatch!', u'Bonnaroo', u'Firefly']"
Squarepusher,EDM,[u'Coachella']
St. Lucia,Indie,"[u'Coachella', u'Hangout']"
St. Paul and the Broken Bones,R&B,"[u'Coachella', u'Sasquatch!', u'Forecastle', u'Lollapalooza', u'Outside Lands']"
St. Vincent,Indie,"[u'Coachella', u'Sasquatch!', u'Governors Ball', u'Free Press Summer Festival', u'Outside Lands']"
Stars in Stereo,Rock,[u'Welcome to Rockville']
Starset,Rock,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
Station,Rock,[u'Rocklahoma']
Steelism,Indie,[u'Hangout']
Steely Dan,Rock,[u'Coachella']
Steve Angello,EDM,[u'Free Press Summer Festival']
Steve Aoki,EDM,[u'Firefly']
Steve Earle,Americana,[u'Stagecoach']
Steve Gunn,Indie,[u'Pitchfork']
Steve Lehman,Jazz,[u'Newport Jazz']
Steve Winwood,Rock,[u'New Orleans Jazz & Heritage Fes']
Stewart Ray,Country,[u'Kicker Country Stampede']
Stick Figure,Reggae,[u'Wakarusa']
Stokeswood,EDM,"[u'SweetWater 420', u'Wakarusa']"
Stolen Nations,Rock,[u'Middle of the Map']
Stone Temple Pilots w/ Chester Bennington,Rock,[u'SunFest']
"Stop, Stop!",Rock,[u'Rocklahoma']
Strand of Oaks,Rock,"[u'Middle of the Map', u'Hangout', u'Sasquatch!', u'Bonnaroo', u'Lollapalooza', u'Outside Lands']"
Strands of Oaks,Rock,[u'Governors Ball']
Streets of Laredo,Indie,[u'Governors Ball']
Stromae,Hip-hop,"[u'Coachella', u'Lollapalooza']"
Sturgill Simpson,Country,"[u'Coachella', u'Stagecoach', u'New Orleans Jazz & Heritage Fes', u'Governors Ball', u'Free Press Summer Festival', u'Bonnaroo', u'Firefly', u'Forecastle', u'Newport Folk', u'Lollapalooza']"
Styles&Complete,Hip-hop,[u'Firefly']
Stylust Beats,Hip-hop,[u'Lightning in a Bottle']
Sublime With Rome,Rock,"[u'Tortuga', u'Firefly']"
Subline with Rome,Rock,[u'Summerfest']
Suicidal Tendencies,Rock,[u'Welcome to Rockville']
Superhuman Happiness,Indie,[u'Electric Forest']
Superjam!,Rock,[u'Bonnaroo']
Swans,Rock,[u'Coachella']
Sweater Beats,EDM,[u'Firefly']
Switchbak,Country,[u'Kicker Country Stampede']
Sylvan Esso,Indie,"[u'Coachella', u'Hangout', u'Sasquatch!', u'Bonnaroo', u'Firefly', u'Summerfest', u'Lollapalooza']"
T.I.,Hip-hop,[u'New Orleans Jazz & Heritage Fes']
TJR,EDM,[u'Spring Awakening']
TV On The Radio,Indie,"[u'Hangout', u'Lollapalooza']"
Tab Benoit,Blues,[u'New Orleans Jazz & Heritage Fes']
Tala,EDM,"[u'Lightning in a Bottle', u'Sasquatch!']"
Tale of Us,EDM,[u'Coachella']
Tame Impala,Indie,"[u'Coachella', u'Sasquatch!', u'Governors Ball', u'Bunbury', u'Lollapalooza', u'Outside Lands']"
Tank & The Bangas,R&B,[u'Essence']
Tanya Tagaq,Indie,[u'Bonnaroo']
Tastytreat,EDM,[u'Lightning in a Bottle']
Tauk,Rock,"[u'Counterpoint', u'Wakarusa', u'Electric Forest']"
Taylor Dayne,Pop,[u'Summerfest']
Taylor Swift,Pop,[u'Rock in Rio USA - Pop Weekend']
Tchami,EDM,[u'Electric Forest']
Tears For Fears,Rock,"[u'Free Press Summer Festival', u'Bonnaroo']"
Tech N9NE,Hip-hop,[u'Rock on the Range']
Tedeschi Trucks Band,Rock,[u'New Orleans Jazz & Heritage Fes']
Teedra Moses,R&B,[u'Essence']
Teemid,EDM,[u'Electric Forest']
Teengirl Fantasy,Pop,[u'Electric Forest']
Temples,Indie,"[u'Sasquatch!', u'Bunbury', u'Bonnaroo']"
Terence Blanchard E-Collective,Jazz,[u'New Orleans Jazz & Heritage Fes']
Tesla,Rock,[u'Rocklahoma']
Testament,Metal,[u'Welcome to Rockville']
The Abnorm,Hip-hop,[u'Middle of the Map']
The Accidentals,Rock,[u'Electric Forest']
The Avett Brothers,Indie,[u'Bunbury']
The Band Perry,Country,"[u'Tortuga', u'Stagecoach', u'CMA Fest']"
The Band of Heathens,Americana,[u'Free Press Summer Festival']
The Barr Brothers,Americana,[u'Forecastle']
The Berklee Concert Jazz Orchestra w Sean Jones,Jazz,[u'Newport Jazz']
The Big Iron,Rock,[u'Middle of the Map']
The Black Keys,Indie,"[u'Governors Ball', u'Bunbury', u'Outside Lands']"
The Blackbird Revue,Americana,[u'Middle of the Map']
The Blind Boys of Alabama,Gospel,[u'New Orleans Jazz & Heritage Fes']
The Blue Root Heelers,Country,[u'Middle of the Map']
The Bluegrass Situation Superjam ft. Ed Helms and Special Guests,Bluegrass,[u'Bonnaroo']
The Bright Light Social Hour,Rock,[u'Free Press Summer Festival']
The Budos Band,R&B,[u'Sasquatch!']
The Cadillac Three,Country,"[u'Tortuga', u'Stagecoach']"
The Chainsmokers,EDM,"[u'Firefly', u'Lollapalooza']"
The Cribs,Indie,[u'Coachella']
The Decemberists,Indie,"[u'Sasquatch!', u'Governors Ball', u'Bunbury', u'Free Press Summer Festival']"
The Delta Saints,Rock,[u'Wakarusa']
The Devil Makes Three,Americana,"[u'Stagecoach', u'Wakarusa', u'Bunbury', u'Outside Lands']"
The Devil Wears Prada,Metal,"[u'Welcome to Rockville', u'Rock on the Range']"
The Dirty Dozen Brass Band,Jazz,[u'New Orleans Jazz & Heritage Fes']
The Dirty Guv'nahs,Americana,[u'Tortuga']
The Districts,Rock,"[u'Hangout', u'Sasquatch!', u'Governors Ball', u'Bonnaroo']"
The Doobie Brothers,Rock,[u'Summerfest']
The Expendables,Reggae,[u'Wakarusa']
The Faint,Indie,[u'Summerfest']
The Family Crest,Indie,[u'Outside Lands']
The Flaming Lips,Indie,[u'Summerfest']
The Floozies,EDM,"[u'SweetWater 420', u'Wakarusa']"
The Fritz,Rock,[u'Wakarusa']
The Front Bottoms,Indie,[u'Bunbury']
The Gaslamp Killer,EDM,[u'Wakarusa']
The Gaslamp Killer Experience,Rock,[u'Coachella']
The Gaslight Anthem,Rock,[u'Forecastle']
The Ghost of a Saber Tooth Tiger,Americana,[u'Coachella']
The Glitch Mob,EDM,[u'Sasquatch!']
The Grisly Hand,Rock,[u'Middle of the Map']
The Griswolds,Indie,[u'Firefly']
The Growlers,Rock,"[u'Wakarusa', u'Bonnaroo']"
The Handsome Family,Americana,[u'Stagecoach']
The Hardship Letters,Americana,[u'Middle of the Map']
The Helmets,Rock,[u'Lollapalooza']
The Hip Abduction,Reggae,[u'SunFest']
The Human Experience,EDM,"[u'Lightning in a Bottle', u'Wakarusa']"
The Hunts,Indie,[u'Firefly']
The Infamous Stringdusters,Bluegrass,[u'Summerfest']
The Isley Brothers,R&B,[u'Summerfest']
The Jimmies,Pop,[u'Lollapalooza']
The Jones Family Singers,Gospel,[u'Newport Folk']
The Julie Ruin,Rock,[u'Pitchfork']
The Kansas City Bear Fighters,Americana,[u'Middle of the Map']
The Killers,Rock,[u'Firefly']
The Knocks,EDM,[u'Sasquatch!']
The Kooks,Rock,"[u'Firefly', u'Summerfest']"
The Kristina Craig Band,Country,[u'Kicker Country Stampede']
The London Souls,Rock,[u'SweetWater 420']
The Lone Bellow,Americana,"[u'Stagecoach', u'Hangout', u'Forecastle', u'Newport Folk']"
The Lonely Biscuits,Indie,[u'Lollapalooza']
The Lucky,Rock,[u'Middle of the Map']
The Magic Beans,Rock,[u'Wakarusa']
The Maldives,Rock,[u'Sasquatch!']
The Mantras,Rock,[u'Wakarusa']
The Mavericks,Country,[u'Tortuga']
The Meters,R&B,[u'New Orleans Jazz & Heritage Fes']
The Motet,Rock,[u'Electric Forest']
The Mountain Goats,Indie,[u'Free Press Summer Festival']
The Mowgli's,Indie,"[u'Hangout', u'Summerfest']"
The New Orleans Suspects,R&B,[u'New Orleans Jazz & Heritage Fes']
The New Pacific,Rock,[u'Lollapalooza']
The New Pornographers,Indie,"[u'Sasquatch!', u'Summerfest', u'Pitchfork']"
The Noise FM,Indie,[u'Middle of the Map']
The Nth Power,Rock,[u'Wakarusa']
The O'Jays,R&B,[u'New Orleans Jazz & Heritage Fes']
The Oak Ridge Boys,Country,"[u'Stagecoach', u'CMA Fest']"
The Opiuo Band,EDM,[u'Lightning in a Bottle']
The Orwells,Rock,[u'Coachella']
The Phantastics,Hip-hop,[u'Middle of the Map']
The Philistines,Rock,[u'Middle of the Map']
The Picturebooks,Rock,[u'Governors Ball']
The Pop Ups,Pop,[u'Lollapalooza']
The Preatures,Indie,[u'Firefly']
The Pretty Reckless,Rock,"[u'Welcome to Rockville', u'Rock in Rio USA - Rock Weekend', u'Rock on the Range', u'Rocklahoma']"
The Project H,Jazz,[u'Middle of the Map']
The Quebe Sisters Band,Americana,[u'Stagecoach']
The Radiators,Rock,[u'New Orleans Jazz & Heritage Fes']
The Ragbirds,World,[u'Electric Forest']
The Relationship,Rock,[u'Middle of the Map']
The Republic Tigers,Rock,[u'Middle of the Map']
The Reverend Peyton's Big Damn Band,Americana,[u'Bunbury']
The Revivalists,Rock,"[u'SweetWater 420', u'New Orleans Jazz & Heritage Fes', u'Wakarusa', u'Forecastle', u'Outside Lands']"
The Rico Monaco Band,Rock,[u'SunFest']
The Romantics,Rock,[u'Summerfest']
The Roots,Hip-hop,"[u'Counterpoint', u'Wakarusa']"
The Sam Chase,Americana,[u'Outside Lands']
The Secret Sisters,Country,[u'Bunbury']
The Sensational Chosen Voices,Gospel,[u'New Orleans Jazz & Heritage Fes']
The Shadowboxers,Pop,[u'SunFest']
The Slackers,Rock,[u'Middle of the Map']
The Slowdown,Rock,[u'Middle of the Map']
The Sluts,Rock,[u'Middle of the Map']
The Soul Rebels,R&B,"[u'New Orleans Jazz & Heritage Fes', u'Counterpoint']"
The Souveneers,Americana,[u'Middle of the Map']
The Spazmatics,Rock,[u'SunFest']
The State Line,Country,[u'Kicker Country Stampede']
The Steeldrivers,Bluegrass,[u'Forecastle']
The String Cheese Incident,Rock,[u'Electric Forest']
