artist,genre,festivals
Brant Bjork & The Low Desert Punk Band,Rock,[u'Coachella']
Branx,EDM,[u'Electric Forest']
Break Science,EDM,[u'Electric Forest']
Breaking Benjamin,Rock,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
Brett Eldredge,Country,"[u'CMA Fest', u'Summerfest']"
Bria Skonberg,Jazz,[u'Newport Jazz']
Brillz,EDM,[u'Spring Awakening']
Bro Safari,EDM,"[u'Wakarusa', u'Spring Awakening']"
Brodinski,EDM,[u'Counterpoint']
Broncho,EDM,"[u'Firefly', u'Forecastle']"
Bronze Whale,EDM,[u'Counterpoint']
Broods,Indie,"[u'Firefly', u'Lollapalooza', u'Outside Lands']"
Brooke Eden,Country,[u'Tortuga']
Broseph E. Lee,Rock,[u'Kicker Country Stampede']
Brothers Osborne,Country,[u'Stagecoach']
Brownout presents Brown Sabbath,Latin,[u'Bonnaroo']
Bruno Mars,Pop,[u'Rock in Rio USA - Pop Weekend']
Buckwheat Zydeco,Americana,[u'New Orleans Jazz & Heritage Fes']
Buddy Guy,Blues,"[u'New Orleans Jazz & Heritage Fes', u'Summerfest']"
Buggs Tha Rocka,Hip-hop,[u'Bunbury']
Built to Spill,Indie,[u'Coachella']
Bully,Rock,[u'Pitchfork']
Bummers,Rock,[u'Bunbury']
Butcher Babies,Metal,"[u'Welcome to Rockville', u'Rocklahoma']"
"Butler, Bernstein & The Hot 9",Jazz,[u'New Orleans Jazz & Heritage Fes']
Buxton,Rock,[u'Free Press Summer Festival']
BØRNS,Indie,"[u'Firefly', u'Lollapalooza']"
CHVRCHES,Indie,[u'Pitchfork']
Cage The Elephant,Indie,"[u'SweetWater 420', u'Firefly', u'Forecastle']"
Caitlin Rose,Country,[u'Stagecoach']
Cajmere,EDM,[u'Spring Awakening']
Caked Up,EDM,"[u'Rock in Rio USA - Rock Weekend', u'Lollapalooza']"
Cam,Country,[u'Stagecoach']
Candlebox,Rock,[u'Rocklahoma']
Candy Claws - Sound of Ceres,EDM,[u'Middle of the Map']
Captiva,Indie,[u'Middle of the Map']
Cardiknox,Pop,[u'Firefly']
Caribou,EDM,"[u'Coachella', u'Bonnaroo', u'Pitchfork', u'Outside Lands']"
Carl Cox,EDM,[u'Electric Forest']
Carl Craig,EDM,[u'Coachella']
Carnage,EDM,"[u'Electric Forest', u'Lollapalooza']"
Caroline Kole,Country,[u'Kicker Country Stampede']
Carolyn Wonderland,Blues,[u'New Orleans Jazz & Heritage Fes']
Carrie Nation & the Speakeasy,Rock,[u'Wakarusa']
Cashmere Cat,EDM,"[u'Coachella', u'Sasquatch!']"
Cassadee Pope,Country,[u'Stagecoach']
Cassandra Wilson (celebrates Billie Holiday),Jazz,[u'Newport Jazz']
Cassandra Wilson Coming Forth By Day: A Celebration of Billie Holiday,Jazz,[u'New Orleans Jazz & Heritage Fes']
Cataldo,Indie,[u'Sasquatch!']
Catch Fever,Indie,[u'Free Press Summer Festival']
Catfish and the Bottlemen,Indie,"[u'Bunbury', u'Bonnaroo', u'Lollapalooza']"
Cathedrals,Indie,"[u'Firefly', u'Forecastle']"
Cecile McLorin Salvant,Jazz,"[u'New Orleans Jazz & Heritage Fes', u'Newport Jazz']"
Cedric Gervais,EDM,[u'Coachella']
Chali 2Na,Hip-hop,[u'Wakarusa']
Chance the Rapper,Hip-hop,"[u'Wakarusa', u'Free Press Summer Festival', u'Pitchfork']"
Chaotic Resmblance,Metal,[u'Rocklahoma']
Charles Bradley,R&B,"[u'Coachella', u'Hangout', u'Free Press Summer Festival', u'Summerfest', u'Electric Forest']"
"Charles Esten, Clare Bowen & Chris Carmack",Country,[u'Stagecoach']
Charles Lloyd Quartet,Jazz,[u'New Orleans Jazz & Heritage Fes']
Charli XCX,Pop,"[u'Rock in Rio USA - Pop Weekend', u'Governors Ball', u'Free Press Summer Festival', u'Firefly', u'Lollapalooza']"
Charlie Wilson,R&B,[u'Essence']
Charlotte OC,Pop,[u'Governors Ball']
Chase Bryant,Country,"[u'Tortuga', u'Kicker Country Stampede']"
Chase Rice,Country,"[u'Tortuga', u'Summerfest']"
Chatham County Line,Bluegrass,[u'Stagecoach']
Cheerleader,Indie,[u'Firefly']
Cherub,Indie,"[u'Counterpoint', u'Forecastle']"
Chet Faker,EDM,"[u'Coachella', u'Counterpoint', u'Lollapalooza', u'Outside Lands']"
Chicago,Rock,[u'New Orleans Jazz & Heritage Fes']
Chicano Batman,Indie,[u'Coachella']
Chiddy Bang,Hip-hop,[u'Firefly']
Childish Gambino,Hip-hop,[u'Bonnaroo']
Chris Botti,Jazz,[u'Newport Jazz']
Chris Janson,Country,[u'Stagecoach']
Chris Lane,Country,[u'Kicker Country Stampede']
Chris Malinchak,EDM,[u'Coachella']
Christian McBride,Jazz,[u'Newport Jazz']
Christian McBride Big Band,Jazz,[u'New Orleans Jazz & Heritage Fes']
Christopher Denny,Americana,[u'Bonnaroo']
Chromeo,EDM,"[u'Sasquatch!', u'Governors Ball']"
